,relevo,inclinacao,velocidade
0,0.0471163754247,0.448613547833,0.0
1,0.063527706152,0.443130745053,0.0
2,0.0909094121738,0.190208908441,0.0
3,0.109649130351,0.421881639834,0.0
4,0.219320759157,0.339302605395,0.0
5,0.246627507694,0.467024668037,0.0
6,0.262741608523,0.673364547293,0.0
7,0.264880166498,0.42357862302,0.0
8,0.381619286507,0.861349104762,1.0
9,0.395631901061,0.190409914362,0.0
10,0.39940050514,0.402621282102,1.0
11,0.4221599668,0.923265599276,1.0
12,0.458851852587,0.431051182406,1.0
13,0.509526293676,0.24865633392,0.0
14,0.529114345099,0.0505883295249,0.0
15,0.561368134163,0.72907584946,1.0
16,0.584585990224,0.984165211366,1.0
17,0.627446041703,0.278545144667,1.0
18,0.792079364363,0.249806447882,1.0
19,0.860779702234,0.83602758508,1.0
20,0.897822883602,0.098417871152,1.0
21,0.914547589741,0.0969308142288,1.0
22,0.971078377614,0.999282468413,1.0
23,0.99612138024,0.55032531245,1.0
24,0.997537606495,0.861672536353,1.0
